"id","nama_produk","brand_produk","harga_retail","link_gambar","harga_original","diskon"
48,"Adidas Samba Jane Sandy Pink Cream White Gum (Women's)","Adidas",1600000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE1NTkxMS84OGY5YzkzYmZlNjA1ZWYyZjczYjU1M2FkZDZhNGYyNy5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",NULL,NULL
49,"Nike Vomero Plus White Dark Hazel Sanddrift Gold (Women's)","Nike",1300000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE1MjAxOC9hNjE4MmJiMDFhY2NjNDhmY2ZmZTQ3NDM1NzFjNjg1MC5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",3135000.0,58.53
50,"Adidas Samba Jane Crystal Sky Cream White (Women's)","Adidas",1700000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE1NjcyOC8xMzZhZWE2MzBhMjZmMWVkYzJjMTI4MDUxOWFjOTkyOC5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",1815000.0,6.34
51,"Air Jordan 1 Low Panda (2023) (Women's)","Air Jordan",1320000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzU4NDI0LzEyMTgyYzU1NzNiZDY1YjA0OTYzYTllMTkyNGQ2ZWI3LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfX19",1815000.0,27.27
52,"Nike Dunk Low Gorge Green Navy (Women's)","Nike",1180000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzQxMTQ4L2Q5N2M0YzgyM2Q4ODQ1ZDE3NzkyOGU2NzBiNThmMjUxLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfX19",1549000.0,23.82
53,"Nike Moon Shoe SP Jacquemus Soft Pearl (Women's)","Nike",6480000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE1NDY1Ni8xMWNhZjA3OWQxMDFmYzAwZjIwZWI4OWQ2NzNhM2Y2Yi5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",NULL,NULL
54,"Puma Speedcat Ballet Glossy Black (Women's)","Puma",1820000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzEzNDA0MC9jNDcxYWZjYmY4ZGY0OGJjMTg4Y2M0MWRiNDc3ZWQ2OS5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",NULL,NULL
55,"Nike Shox TL Off Noir Phantom (Women's)","Nike",1550000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE0MDE5OC85ZTA5NTdiZmNlNTc1M2U2OGIyN2VlYTQyMzAyZjFlMS5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",NULL,NULL
56,"New Balance 574 Rose Sugar (Women's)","New Balance",700000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE0MDE2OC84M2QzNjllMDkwNTFjYWEyZTRhMzhhOWY4ODlmYTliYi5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",NULL,NULL
57,"Onitsuka Tiger Mexico 66 TGRS Black Cream (Women's)","Onitsuka Tiger",3120000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzEyOTE4MS9mMTE3YzgxNjk0ODg5MzI3NDU0ODk2YzFkNzAzNzExZC5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",NULL,NULL
58,"Adidas Samba Patent Snakeskin Black Off White (Women's)","Adidas",2360000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE1MzYxNy9hOWZmZGI4MWU4NjlmMjBhMGE2Njc3OTBlZGU1MGI1Yi5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",NULL,NULL
59,"Nike Dunk Low Blue Paisley (Women's)","Nike",1200000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzI4NjQxLzNlN2QwNTI3MjAzMzNmOTdlODgxMzAxMDhhZWFkNmJkLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfX19",1549000.0,22.53
